Mekan Adı,İlçe Adı,Adres,Telefon,Çalışma Saatleri,Hizmet Seçeneği,Öne Çıkan Ürün(ler),Enlem,Boylam
Glutensiz.com Market ve Cafe,Etiler,"Etiler Mah, Nispetiye Cad, Bebek Yokuşu Sok. No: 2C D:2D, 34342 Beşiktaş/İstanbul",(0212) 287 29 00,10:30-19:30,Sadece Glutensiz,Glutensiz Simit ve Poğaçalar,41.08058672,29.03435674
Canella ,Kağıthane,Ortabayır mah. Mekik sokak Mustafabey apt. No:2A Bacadibi Kağıthane İstanbul,0538 250 30 64,ONLİNE CATERİNG,Glutensiz Seçenek,Glutensiz Pasta Seçenekleri,41.05039457,28.99492852
Bi Nevi Deli,Etiler,"Etiler, Dilhayat Sk. No:10/1, 34337 Beşiktaş/İstanbul",(0212) 358 60 32,10:00-21:30,Glutensiz Seçenek,Glutensiz Pankek,41.0796039,29.03324612
Healin Foods,Teşvikiye,"Teşvikiye, Hüsrev Gerede Cd. No:110, 34365 Şişli/İstanbul",(0212) 260 08 08,08:00-23:00,Glutensiz Seçenek,Glutensiz ve Şekersiz Brownie,41.04883418,28.99458372
Safi Arnavutköy,Arnavutköy,"Arnavutköy, Bakkal Sk. No:8, 34345 Beşiktaş/İstanbul",0542 448 08 95,09:00-20:00,Sadece Glutensiz,Glutensiz Serpme Kahvaltı,41.06764381,29.04217027
Aktarium Glutensiz,Bakırköy,"AKTARİUM BAHARAT, ATAKÖY 9.10.KISIM MAH, Karanfil Sk. ATRİUM AVM KAT:1 NO:161, 34158 Bakırköy/İstanbul",0532 236 94 59,10:00-20:00,Sadece Glutensiz,Ketojenik ve Glutensiz Kurabiyeler,40.9888708,28.84536699
Yağcıoğlu Pastaneleri,Ataköy,"Avrupa Residence-Office, Ataköy 7-8-9-10, Kisim Mah, Çobançeşme, Yan Yol E-5, 34149 Bakırköy/İstanbul",0530 868 75 78,07:00-23:00,Glutensiz Seçenek,Glutensiz Ekler,40.99247262,28.82724838
Rolla Glutenfree,Koşuyolu,Koşuyolu Caddesi 106 Kadıköy,216 339 99 39,11.30-19.00,Sadece Glutensiz,Glutensiz Her şey,41.00868779,29.03629879
Glutensiz.com Market ve Cafe,Maltepe,Süreyyapaşa Tesis / Yaylada AVM Turgut Özal Bulvarı Sahilyolu 34843 Maltepe/ İstanbul,530 175 62 51,10.00-21.00,Sadece Glutensiz,Glutensiz Simit ve Poğaçalar,40.92727036,29.12386766
Tatlı Fırın,Kozyatağı,19 Mayıs Mahallesi Turaboğlu Sokak No:6 Kadıköy,216 766 68 78,belirtilmemiş,Sadece Glutensiz,Glutensiz Tatlı Çeşitleri,40.97966287,29.09254273
Tatlı Fırın,Levent,Nispetiye Caddesi No:11 Levent,212 270 27 57,belirtilmemiş,Sadece Glutensiz,Glutensiz Tatlı Çeşitleri,41.07501949,29.0170045
Tatlı Fırın,Kadıköy,Bağdat caddesi Hasan Ali Yücel Sokak No:13 Fenerbahçe,216 766 20 90,belirtilmemiş,Sadece Glutensiz,Glutensiz Tatlı Çeşitleri,40.97965477,29.09252127
Tatlı Fırın,Ataköy,Çobançeşme E-5 yanyol Nivo Atakö A Blok No: 174 Ataköy 7-8-9-10. kısım Bakırköy,212 801 38 38,belirtilmemiş,Sadece Glutensiz,Glutensiz Tatlı Çeşitleri,40.99190174,28.82969043
Mios Pizza ,Kozyatağı ,Kozyatağı Kadıpaşa sk. 28C 34742 Kadıköy/ İstanbul,216 999 50 57,11.00-22.30,Glutensiz Seçenek,Glutensiz İtalyan Pizzası,40.96884709,29.09069145
Mr. Dumpling,Sirkeci,"Hoca Paşa, Hoca Paşa sk, No: 21",212 528 08 09,08.30-23.00,Glutensiz Seçenek,Glutensiz Mantı,41.01408351,28.97611627
Mr. Dumpling,Üsküdar,"Mimar Sinan, Atlas Çıkmazı. No: 9",216 342 56 00,08.30-23.00,Glutensiz Seçenek,Glutensiz Mantı,41.02412111,29.0171039
Mr. Dumpling,Ataşehir,"Atatürk, Ataşehir Blv. 10-1 Ataşehir/ İstanbul",216 784 15 91,09.00-23.00,Glutensiz Seçenek,Glutensiz Mantı,40.99367524,29.12222184
Mr. Dumpling,Kadıköy,"Osmanağa, Halitağa cd. No: 26-28 ",216 504 77 68,08.30-23.30,Glutensiz Seçenek,Glutensiz Mantı,40.99239473,29.0295797
Karaköy Güllüoğlu,Karaköy,"Kemankeş, Karamustafa Paşa, Kemankeş cd No: 67 Beyoğlu, İstanbul",212 225 52 82,belirtilmemiş,Glutensiz Seçenek,Glutensiz Baklava (Türkiye'de tek yapan yer),41.02498751,28.98098046
Kirpi Kafe ,Koşuyolu,"Koşuyolu, Mehmet Akfan Sokağı No:31, 34718 Kadıköy/İstanbul",(0216) 339 09 05,09.00-01.00,Glutensiz Seçenek,Glutensiz Kahvaltı & Makarna,41.00914279,29.04049774
Kirpi Kafe ,Üsküdar,"Acıbadem, Çeçen Sok., 34660 Üsküdar/İstanbul",(0216) 290 27 68,10.00-22.00,Glutensiz Seçenek,Glutensiz Kahvaltı & Makarna,41.00132771,29.05476137
Ninda Bebek,Beşiktaş,"Bebek, Cevdet Paşa Cd. No:24A, 34342 Beşiktaş/İstanbul",(0212) 257 24 27,07.30-20.00,Glutensiz Seçenek,Glutensiz Kahvaltı,41.07745565,29.04378364
Guru Glutensiz,Moda,"Caferağa, Dr. Esat Işık Cd. 9/B, 34710 Kadıköy/İstanbul",(0216) 519 20 22,12.00-23.00,Sadece Glutensiz,Glutensiz Her şey,41.05313743,28.99633278
Kolcuoğlu Bomonti Ocakbaşı Kebap,Şişli," Cumhuriyet Mah. Hekim Sk. No:4-100 Öger Residence, 34380 Şişli/İstanbul",0531 282 10 32,12.00-00.00,Glutensiz Seçenek,Glutensiz Kebap,41.05577137,28.98040671
d’Amalfi Senza Glutine,Kadıköy,"Caferağa,Bağdemaltı sk. Nuray apt. No:32/1 Kadıköy/ İstanbul",0216 748 93 06,10.00-22.00,Sadece Glutensiz,Glutensiz Napoliten Pizza ,40.98483545,29.02608211
Roots & Shots,Caddebostan,"Caddebostan, Bağdat Cad. No: 260 / C, 34728 Kadıköy/İstanbul",0216 385 20 70,08.00-22.00,Glutensiz Seçenek,Glutensiz Raw Tatlılar,40.97019649,29.06201395
Starbucks (HER ŞUBE),Tuzla,Fatih mah. Katip çelebi cad. Anadolu otoyolu No:4/9 Tuzla ,0850 969 76 30,24 Saat açık,Glutensiz Seçenek,Glutensiz Tatlı Çeşitleri,40.82336163,29.3006492
Philosophia Books Cafe,Ümraniye,"Huzur Apart, Yamanevler, Recepağa Sk. No:10 D:12B, 34768 Ümraniye/İstanbul",0539 490 71 79,09.00-19.30,Glutensiz Seçenek,Glutensiz Ev Keki,41.02625824,29.09849018
Huqqa,Beşiktaş,"Kuruçeşme, Muallim Naci Cd. No:56, 34345 Beşiktaş/İstanbul",0212 277 06 66,09.00-03.00,Glutensiz Seçenek,Glutensiz Yemek Çeşitleri,41.05825483,29.0346448
Kalamissia,Kalamış,"Fenerbahçe, Fener Kalamış Cd. No:59 D:1a, 34726 Kadıköy/İstanbul",0542 127 76 27,09.00-20.00,Glutensiz Seçenek,Glutensiz Çorba&Tatlı,40.97472918,29.04248738
Mundo Novo Coffee & Patisserie,Beyoğlu,Müedyyezade. Şahkulu serdar-ı ekrem cd. No:1 Beyoğlu/ İstanbul,0544 100 40 70,08.00-01.00,Glutensiz Seçenek,Glutensiz Tatlı,41.03181556,28.98222757
Freca Cafe,Göztepe,Dr. Fazıl Gökçeören sk. No:2 Göztepe/Kadıköy /istanbul,0530 773 13 66,09.30-00.00,Sadece Glutensiz,Glutensiz ve Şekersiz Tatlı,40.98270676,29.06061467
Vaça Greçka,Beylikdüzü,"Adnan Kahveci, Atakent Cd. No:30, 34528 Beylikdüzü/İstanbul",0539 334 26 15,belirtilmemiş,Sadece Glutensiz,Grekça (Karabuğday) Ekmeği,40.99218733,28.62544227
Nazar Profiterol,Şişli,Baruthane cd. No:66/A Şişli/istanbul,0 212 219 68 68,belirtilmemiş,Glutensiz Seçenek,Glutensiz Profiterol,41.05282394,28.98316801
Nalia Kurtköy,Pendik,"Flora Park, Yenişehir, Eşref Bitlis Blv. No:15, 34912 Pendik/İstanbul",0216 266 68 66,08.00-22.00,Glutensiz Seçenek,Glutensiz Mısır Ekmeği- Karadeniz Mutfağı,40.93773846,29.29397087
Terrace Mantı,Beşiktaş,"ziraat bankası fulya şb yanı, Dikilitaş Mah Yeşilçimen Sok &, Lale Çk. No:13/A, 34349 Beşiktaş/İstanbul",0212 327 88 40,08.30-21.00,Glutensiz Seçenek,Glutensiz Çıtır Mantı,41.05787209,29.00121273
Beam Bakes,Sarıyer,"Emirgan, Haydar Rıfat Sk. no:6 34467, 34467 Sarıyer/İstanbul",0542 351 77 89,09.00-17.00,Sadece Glutensiz,Glutensiz Tasarım Pastalar,41.10075077,29.05234473
Legume Cafe & Bakery,Üsküdar,"Acıbadem Beyazköşk apt Acıbadem Caddesi No:195D, 34100 Üsküdar/İstanbul",0544 144 12 42,10.00-18.30,Sadece Glutensiz,Glutensiz Kiş,41.01472212,29.05554851
Ara Glutensiz,Kadıköy,Suadiye mah. Kadıköy/İstanbul,0533 384 83 32,09.00-20.00,Sadece Glutensiz,Glutensiz Sandviçler,40.9640263,29.079244
Pizza Locale,Beşiktaş,Sinanpaşa Kazan sokak No:7 Beşiktaş İstanbul,0 212 227 34 17,12.00-21.45,Glutensiz Seçenek,Glutensiz Pizza (SADECE BU ŞUBE),41.04346321,29.00572505
Panoromic Restorant,Sultanahmet,Yerebatan cad. No:37 Sultanahmet İstanbul,0 212 511 19 37,belirtilmemiş,Glutensiz Seçenek,Glutensiz Makarna,41.00973583,28.97638841
Midpoint (HER ŞUBE),Kartal ,Kordonboyu Ankara cad. No:147 Kartal İstanbul ,0 530 594 99 44,09.00-01.00,Glutensiz Seçenek,Glutensiz Yemek Çeşitleri ,40.88408937,29.20703896
Pooça,Kadıköy,Bağdat cad. Göztepe Güzel sok. No:3C Kadıköy İstanbul,0 543 349 89 69,08.00-18.00,Sadece Glutensiz,Glutensiz Yemek Çeşitleri,40.97640167,29.0518236
Kahve Dünyası (HER ŞUBE),Bebek,"Bebek, Cevdet Paşa Cd. No:20, 34342 Beşiktaş/İstanbul",(0212) 703 78 87,06:30-01:00,Glutensiz Seçenek,Glutensiz Tatlı Çeşitleri,41.07736686,29.04367677
Coffy (HER ŞUBE),Sefaköy,"Tevfik Bey, Merkez Cd. Yıldırım apt No:21/A, 34295 Küçükçekmece/İstanbul",0850 211 9797,07:00-01:00,Glutensiz Seçenek,Glutensiz Brownie,41.00600449,28.79854321
Espressolab (HER ŞUBE),Bebek,"Bebek, Cevdet Paşa Cd. No:24/2, 34342 Beşiktaş/İstanbul",444 8 464,07:00-02:00,Glutensiz Seçenek,Hazelnut Bar,41.07737696,29.04379845
Kronotrop (HER ŞUBE),Karaköy,"Kemankeş Karamustafa Paşa, Karaali Kaptan Sk. No:4 Karaköy, 34425 Beyoğlu/İstanbul",0545 843 78 34,08:00-23:00,Glutensiz Seçenek,Glutensiz Granola Çeşitleri,41.02547298,28.97910683
Caffe Nero (HER ŞUBE),Beşiktaş,"Vişnezade Mah. Süleyman Seba Caddesi, D Blok No: 30 Akaretler Sıraevleri, 34357 Beşiktaş/İstanbul",(0212) 227 32 82,07:00-20:00,Glutensiz Seçenek,Glutensiz Tatlı Çeşitleri,41.04341312,29.00185176
Divan Pastaneleri,Ataköy,"Kısım Mh, Ataköy 7-8-9-10. Kısım, Nilüfer Sk. No:3, 34158 Bakırköy/İstanbul",(0212) 560 60 20,08:30-21:00,Glutensiz Seçenek,Glutensiz Kakaolu Kinoalı Kek,40.98870115,28.84666522